Make,Model,Total.Fatal.Injuries,Seating Capacity
BEECH,58,54,
CESSNA,150,31,
CESSNA,152,361,2
CESSNA,172,252,4
CESSNA,177,87,
CESSNA,180,97,6
CESSNA,182,126,4
BEECH,200,69,
BELL,206,29,
CESSNA,340,23,
BELL,407,63,
CESSNA,414,61,
CESSNA,441,23,
Cessna,120,,2
Cessna,140,,2
Cessna,150,,2
CESSNA,150F,59,2
CESSNA,150L,120,2
CESSNA,150M,96,2
Cessna,170,,4
CESSNA,170B,59,
Cessna,172B,,4
CESSNA,172K,67,4
CESSNA,172L,20,
CESSNA,172M,221,4
CESSNA,172N,389,4
CESSNA,172P,220,4
Cessna,172R,,4
CESSNA,172RG,85,4
CESSNA,172S,73,4
BELLANCA,17-30A,59,
Cessna,177,,4
CESSNA,177B,66,
CESSNA,177RG,90,
CESSNA,182P,122,4
CESSNA,182Q,114,4
CESSNA,182R,74,
Cessna,185,,6
LOCKHEED,188C,70,
BEECH,1900D,23,
BELL,206B,182,
BELL,206L-1,60,
CESSNA,208B,83,10
Cessna,210,,6
CESSNA,310R,75,
CESSNA,340A,99,
CESSNA,414A,20,
CESSNA,421B,84,
CESSNA,421C,137,
Beechcraft,58,,5
BOEING,707-321B,74,
BOEING,727-235,154,
BOEING,737-222,78,
BOEING,747-131,230,
BOEING,747-300,229,
BOEING,757-200,64,
BOEING,767-200ER,157,
Aeronca,7AC,,2
American Champion,7ECA,,2
American Champion,7GCBC,,2
Luscombe,8A,,2
BEECH,95-B55,100,
CESSNA,A185F,69,6
Cessna,A188B,,1
AIRBUS INDUSTRIE,A300B4-605R,266,
BEECH,A36,298,6
BEECH,A36TC,79,
EUROCOPTER,AS350B2,20,
ATR,ATR-72-212,68,
BEECH,B36TC,22,
BOEING,B-737-300,132,
BEECH,C23,72,
"BOMBARDIER, INC.",CRJ-100,49,
MCDONNELL DOUGLAS,DC-10-10,111,
DOUGLAS,DC-9-32,134,
MCDONNELL DOUGLAS,DC-9-82,158,
DE HAVILLAND,DHC-2,103,
DEHAVILLAND,DHC-3,34,
BOMBARDIER INC,DHC-8-402,49,
EMBRAER,EMB-120RT,60,
BEECH,F33A,60,
Grumman,G-164B,,1
GRUMMAN,G-73T,20,
Piper,J3C-65,,2
LOCKHEED,L-1011-385-1,135,
MOONEY,M20C,86,4
MOONEY,M20E,71,
MOONEY,M20F,91,
MOONEY,M20J,150,4
MOONEY,M20K,83,4
DOUGLAS,MD-83,88,
MITSUBISHI,MU-2B-60,61,
CESSNA,P210N,102,6
PIPER,PA-12,73,3
Piper,PA18,,2
PIPER,PA-18,86,2
PIPER,PA-18-150,107,2
Piper,PA-22-150,,4
PIPER,PA-23-250,172,
PIPER,PA-24-180,74,
PIPER,PA-24-250,169,4
PIPER,PA-24-260,76,
PIPER,PA28,61,4
PIPER,PA-28-140,300,4
PIPER,PA-28-161,210,4
PIPER,PA-28-180,260,4
PIPER,PA-28-181,340,4
PIPER,PA-28-235,81,
PIPER,PA28R,19,
PIPER,PA-28R-180,78,
PIPER,PA-28R-200,171,4
PIPER,PA-30,104,6
PIPER,PA-31-350,157,10
PIPER,PA31T,22,
PIPER,PA32,21,
PIPER,PA-32-260,154,
PIPER,PA-32-300,196,
PIPER,PA32R,22,
PIPER,PA-32R-300,134,
PIPER,PA-32R-301,70,
PIPER,PA-32R-301T,73,
PIPER,PA-34-200T,98,
PIPER,PA-38-112,84,
PIPER,PA-44-180,20,
PIPER,PA46,21,
PIPER,PA-46-310P,62,
PIPER,PA46-350P,25,
PILATUS,PC-12/45,27,
CESSNA,R182,20,
ROBINSON HELICOPTER,R22BETA,19,
ROBINSON,R44,39,4
ROBINSON,R44II,24,4
BEECH,S35,61,
Cirrus,SR20,,5
CIRRUS,SR22,77,5
CESSNA,T210L,93,
CESSNA,T210M,93,
CESSNA,T210N,118,6
SOCATA,TBM700,30,
CESSNA,TR182,61,
CESSNA,U206F,21,
CESSNA,U206G,65,
BEECH,V35,69,
BEECH,V35B,101,
